,Visible,Subjective,Action,Story,Meta,Irrelevant,Other,When,Where,How,Comment
0,1,0,0,0,0,0,0,0,0,0,nan
1,0,1,0,1,0,0,0,0,0,0,nan
2,1,0,0,0,0,0,0,0,0,0,nan
3,1,0,0,0,0,0,0,0,0,0,nan
4,0,0,0,1,0,0,0,0,0,0,nan
5,1,0,0,1,0,0,0,0,0,0,nan
6,0,0,0,1,0,0,0,0,0,0,nan
7,1,0,0,0,0,0,0,0,0,0,nan
8,1,0,0,0,0,0,0,0,0,0,nan
9,0,0,0,1,0,0,0,0,0,0,nan
10,1,0,0,0,0,0,0,0,0,0,nan
11,1,0,0,0,0,0,0,0,0,0,nan
12,0,1,0,0,0,0,1,0,0,0,text
13,1,0,0,0,0,0,0,0,0,0,nan
14,0,0,0,0,0,0,1,0,0,0,caption is describing where to find pictures like this -- unsure what category to choose
15,1,0,0,0,0,0,0,0,0,0,nan
16,1,0,0,0,0,0,0,0,0,0,nan
17,0,1,0,0,0,0,0,0,0,0,nan
18,1,0,0,0,0,0,0,0,0,0,nan
19,0,0,0,1,0,0,0,0,0,0,nan
20,1,0,0,0,0,0,0,0,0,0,nan
21,1,0,0,0,0,0,0,0,0,0,nan
22,1,0,0,0,0,0,0,0,0,0,nan
23,0,0,0,0,0,1,0,0,0,0,text incomplete? 
24,1,0,0,0,0,0,0,0,0,0,nan
25,1,1,0,0,0,0,0,0,0,0,nan
26,0,1,0,0,0,0,0,0,0,0,nan
27,1,0,0,0,0,0,0,0,0,0,nan
28,1,0,0,0,0,0,0,0,0,0,nan
29,0,1,0,1,0,0,0,0,0,0,nan
30,1,0,0,0,0,0,0,0,0,0,nan
31,1,1,0,0,0,0,0,0,0,0,nan
32,1,0,0,0,0,0,0,0,0,0,nan
33,1,0,0,0,0,0,0,0,0,0,nan
34,1,0,0,0,0,0,0,0,0,0,nan
35,1,0,0,0,0,0,0,0,0,0,nan
36,1,0,0,0,0,0,0,0,0,0,nan
37,1,0,0,1,0,0,0,0,0,0,nan
38,1,0,0,0,0,0,0,0,0,0,nan
39,1,0,0,1,0,0,0,0,0,0,nan
40,1,0,0,0,0,0,0,0,0,0,nan
41,1,0,0,0,0,0,0,0,0,0,nan
42,1,0,0,0,0,0,0,0,0,0,nan
43,0,1,0,1,0,0,0,0,0,0,nan
44,1,0,0,1,0,0,0,0,0,0,nan
45,1,0,0,0,0,0,0,0,0,0,nan
46,1,0,0,0,0,0,0,0,0,0,nan
47,1,0,0,0,0,0,0,0,0,0,nan
48,1,0,0,0,0,0,0,0,0,0,nan
49,1,0,0,0,0,0,0,0,0,0,nan
50,1,0,0,0,0,0,0,0,0,0,nan
51,1,0,0,0,0,0,0,0,0,0,nan
52,0,1,0,0,0,0,0,0,0,0,nan
53,0,0,0,1,0,0,0,0,0,0,nan
54,1,0,0,0,0,0,0,0,0,0,nan
55,1,0,0,0,0,0,0,0,0,0,nan
56,1,0,0,0,0,0,0,0,0,0,nan
57,0,1,0,0,0,0,0,0,0,0,nan
58,1,0,0,0,0,0,0,0,0,0,nan
59,1,0,0,0,0,0,0,0,0,0,nan
60,0,0,0,1,0,1,0,0,0,0,nan
61,1,0,0,0,0,0,0,0,0,0,nan
62,1,0,0,0,0,0,0,0,0,0,nan
63,0,0,0,1,0,0,0,0,0,0,nan
64,1,0,0,0,1,0,0,0,0,0,nan
65,0,1,0,1,0,0,0,0,0,0,nan
66,0,1,0,0,0,0,0,0,0,0,nan
67,1,1,0,0,0,0,0,0,0,0,nan
68,0,0,0,0,0,0,1,0,0,0,not sure how to mark the relation behind a request and image
69,1,0,0,0,0,0,0,0,0,0,nan
70,1,0,0,1,0,0,0,0,0,0,nan
71,1,0,0,0,0,0,0,0,0,0,nan
72,1,0,0,0,0,0,0,0,0,0,nan
73,0,1,0,0,0,0,0,0,0,0,nan
74,1,0,0,0,0,0,0,0,0,0,nan
75,0,1,0,0,0,0,0,0,0,0,nan
76,1,0,0,0,0,0,0,0,0,0,nan
77,1,0,0,0,0,0,0,0,0,0,nan
78,1,0,0,0,0,0,1,0,0,0,half true? but where is the river
79,0,1,0,0,0,1,0,0,0,0,nan
80,1,0,0,0,0,0,0,0,0,0,nan
81,1,0,0,0,0,0,0,0,0,0,nan
82,1,0,0,0,0,0,0,0,0,0,nan
83,0,0,0,1,0,0,0,0,0,0,nan
84,0,1,0,0,0,0,0,0,0,0,nan
85,0,0,0,1,0,0,0,0,0,0,nan
86,0,1,0,0,0,0,0,0,0,0,nan
87,0,1,0,0,0,0,0,0,0,0,nan
88,0,1,0,1,0,0,0,0,0,0,nan
89,1,0,0,0,0,0,0,0,0,0,nan
90,1,1,0,0,0,0,0,0,0,0,nan
91,1,0,0,0,0,0,0,0,0,0,nan
92,1,0,0,0,0,0,0,0,0,0,nan
93,0,1,0,0,0,0,0,0,0,0,nan
94,1,0,0,0,0,0,0,0,0,0,nan
95,1,1,0,0,0,0,0,0,0,0,nan
96,1,0,0,0,0,0,0,0,0,0,nan
97,1,0,0,0,0,0,0,0,0,0,nan
98,0,1,0,0,0,0,0,0,0,0,nan
99,0,0,0,1,0,0,0,0,0,0,nan
100,1,0,0,1,0,0,0,0,0,0,nan
101,0,0,0,1,0,0,0,0,0,0,nan
102,1,0,0,0,0,0,1,0,0,0,text
103,0,1,0,0,0,0,0,0,0,0,nan
104,1,0,0,0,0,0,0,0,0,0,nan
105,0,0,0,0,0,1,0,0,0,0,nan
106,1,0,0,0,0,0,0,0,0,0,nan
107,0,1,0,0,0,0,0,0,0,0,nan
108,1,0,0,0,0,0,0,0,0,0,nan
109,1,0,0,0,0,0,0,0,0,0,nan
110,1,0,0,0,0,0,0,0,0,0,nan
111,1,1,0,0,0,0,0,0,0,0,nan
112,0,1,0,0,0,0,0,0,0,0,nan
113,1,0,0,0,0,0,0,0,0,0,nan
114,1,0,0,1,0,0,0,0,0,0,nan
115,1,0,0,0,0,0,0,0,0,0,nan
116,1,0,0,0,0,0,0,0,0,0,nan
117,1,0,0,0,0,0,0,0,0,0,nan
118,0,0,0,1,0,0,0,0,0,0,nan
119,1,0,0,0,0,0,0,0,0,0,nan
120,1,0,0,0,0,0,0,0,0,0,nan
121,0,1,0,0,0,0,0,0,0,0,nan
122,1,0,0,0,0,0,0,0,0,0,nan
123,1,0,0,0,0,0,0,0,0,0,nan
124,1,0,0,0,0,0,0,0,0,0,nan
125,0,1,0,0,0,0,0,0,0,0,nan
126,1,0,0,0,0,0,0,0,0,0,nan
127,1,0,0,0,0,0,0,0,0,0,nan
128,1,0,0,0,0,0,0,0,0,0,nan
129,1,0,0,0,0,0,0,0,0,0,nan
130,1,0,0,1,0,0,0,0,0,0,nan
131,0,1,0,0,0,0,0,0,0,0,nan
132,0,1,0,0,0,0,0,0,0,0,nan
133,0,1,0,0,0,0,0,0,0,0,nan
134,0,1,0,0,0,0,0,0,0,0,nan
135,1,0,0,0,0,0,0,0,0,0,nan
136,0,1,0,0,0,0,0,0,0,0,nan
137,0,1,0,1,0,0,0,0,0,0,nan
138,1,0,0,0,0,0,0,0,0,0,nan
139,0,1,0,0,0,0,0,0,0,0,nan
140,0,1,0,0,0,0,0,0,0,0,nan
141,0,1,0,0,0,0,0,0,0,0,nan
142,0,1,0,0,0,0,0,0,0,0,nan
143,1,0,0,0,0,0,0,0,0,0,nan
144,1,0,0,0,0,0,0,0,0,0,nan
145,0,0,0,0,0,1,0,0,0,0,nan
146,1,0,0,0,0,0,0,0,0,0,nan
147,1,0,0,0,0,0,0,0,0,0,nan
148,1,0,0,0,0,0,0,0,0,0,nan
149,0,0,0,1,0,0,0,0,0,0,nan
150,0,1,0,1,0,0,0,0,0,0,nan
151,0,0,0,1,0,0,0,0,0,0,nan
152,1,0,0,0,0,0,0,0,0,0,nan
153,0,1,0,0,0,0,0,0,0,0,nan
154,0,0,0,1,0,0,0,0,0,0,nan
155,1,0,0,0,0,0,0,0,0,0,nan
156,1,1,0,0,0,0,0,0,0,0,nan
157,0,0,0,1,0,0,0,0,0,0,nan
158,1,0,0,0,0,0,0,0,0,0,nan
159,0,1,0,1,0,0,0,0,0,0,nan
160,1,0,0,1,0,0,0,0,0,0,nan
161,1,0,0,0,0,0,0,0,0,0,nan
162,0,0,0,1,1,0,0,0,0,0,nan
163,1,0,0,0,0,0,0,0,0,0,nan
164,0,0,0,1,0,0,0,0,0,0,nan
165,0,0,0,1,0,0,0,0,0,0,nan
166,1,0,0,0,0,0,1,0,0,0,"not sure if i can distinctly say true because of the pronoun, is it indeed ""our"" office"
167,0,1,0,0,0,0,0,0,0,0,nan
168,1,0,0,0,1,0,0,0,0,0,nan
169,0,0,0,0,1,0,0,0,0,0,nan
170,1,0,0,0,0,0,0,0,0,0,nan
171,1,0,0,0,0,0,0,0,0,0,nan
172,1,0,0,0,0,0,0,0,0,0,nan
173,0,0,0,1,0,1,0,0,0,0,nan
174,0,1,0,0,0,0,0,0,0,0,nan
175,1,0,0,1,0,0,0,0,0,0,nan
176,0,0,0,1,0,0,0,0,0,0,nan
177,1,0,0,0,0,0,0,0,0,0,nan
178,0,0,0,1,0,0,0,0,0,0,nan
179,0,1,0,0,0,0,0,0,0,0,nan
180,1,0,0,0,0,0,0,0,0,0,nan
181,1,0,0,1,0,0,0,0,0,0,nan
182,0,1,0,0,0,0,0,0,0,0,nan
183,1,0,0,0,0,0,0,0,0,0,nan
184,1,0,0,0,0,0,0,0,0,0,nan
185,1,0,0,0,0,0,0,0,0,0,nan
186,0,0,0,0,0,1,0,0,0,0,text is gibberish
187,1,1,0,0,0,0,0,0,0,0,nan
188,1,0,0,0,0,0,0,0,0,0,nan
189,0,0,0,1,0,0,0,0,0,0,nan
190,1,0,0,0,0,0,0,0,0,0,nan
191,0,0,0,0,0,1,1,0,0,0,"no mobile home in the picture, doesn't show series"
192,1,0,0,0,0,0,0,0,0,0,nan
193,1,0,0,0,0,0,0,0,0,0,nan
194,0,0,0,1,0,0,0,0,0,0,nan
195,0,0,0,1,0,0,0,0,0,0,nan
196,0,0,0,1,0,0,0,0,0,0,nan
197,0,1,0,0,0,0,0,0,0,0,nan
198,1,0,0,0,0,0,0,0,0,0,nan
199,0,0,0,1,0,0,0,0,0,0,nan
200,1,0,0,0,0,0,0,0,0,0,nan
201,1,0,0,0,0,0,0,0,0,0,nan
202,0,1,0,0,0,0,0,0,0,0,nan
203,0,0,0,1,0,0,0,0,0,0,nan
204,0,1,0,1,0,0,0,0,0,0,nan
205,0,0,0,1,0,0,0,0,0,0,nan
206,1,0,0,0,0,0,0,0,0,0,nan
207,1,0,0,0,0,0,0,0,0,0,nan
208,1,0,0,1,0,0,0,0,0,0,nan
